"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IBPFAHIO_02618",1433.92166322791,0.549080645043942,0.0692126524025301,7.93324090298655,2.13499715534911e-15,4.553096497598e-15
"IBPFAHIO_01268",1668.48194455858,-0.546115794217724,0.0688669603631639,-7.93001159536925,2.19125425332549e-15,4.66964943735761e-15
"IBPFAHIO_02464",1426.75896326888,0.587949641781197,0.0742184096821359,7.9218841295479,2.33938267252779e-15,4.98167005100833e-15
"IBPFAHIO_02628",7261.03461008843,-0.479800605362252,0.0605950331684959,-7.91815071753613,2.41069045411093e-15,5.12976601748312e-15
"IBPFAHIO_00242",2560.32250075665,0.543530850651074,0.0686590161265624,7.91637983348259,2.44525841502845e-15,5.19952318929717e-15
"IBPFAHIO_02480",1657.83732747883,-0.589687291784317,0.0745574786648456,-7.90916353857817,2.59124029374943e-15,5.50591277014933e-15
"IBPFAHIO_01777",112.476406905723,-1.45881344379372,0.184650614883044,-7.90039851596333,2.78013115737629e-15,5.90296265435623e-15
"IBPFAHIO_02482",285.509357325261,-0.950076839456131,0.120497561797153,-7.88461463689617,3.15507650133766e-15,6.6941892823571e-15
"IBPFAHIO_00528",475.311527156983,0.781606910224131,0.0992332651727483,7.87646066934798,3.36784869554562e-15,7.14042793352753e-15
"IBPFAHIO_01274",384.657635181853,0.822609136285276,0.104473043414317,7.87388889421927,3.43784268043032e-15,7.2835225929641e-15
"IBPFAHIO_02856",500.744382259294,-0.770529255070999,0.0978638656031398,-7.87348067974006,3.44908366960022e-15,7.30202368160454e-15
"IBPFAHIO_00912",2122.92221825425,-0.777196812884101,0.0987557676051544,-7.8698878225674,3.54959385932175e-15,7.50935154395758e-15
"IBPFAHIO_02104",6267.17426104878,0.492819212017592,0.0626331920678182,7.86833938599162,3.59379552313349e-15,7.59734115311662e-15
"IBPFAHIO_00911",2343.96705023316,-0.681450620419223,0.0866288935703562,-7.86632025798388,3.65224845584451e-15,7.71530860302132e-15
"IBPFAHIO_00246",647.226623692052,0.781609644212908,0.0995824233693224,7.84887149526522,4.19797484539786e-15,8.86171484768178e-15
"IBPFAHIO_02387",663.676188680083,0.715903055799961,0.0913160115117189,7.83984149053736,4.51115518723171e-15,9.51592228263153e-15
"IBPFAHIO_02043",122.117350755282,-1.40953319957434,0.179813841539078,-7.83884704041545,4.54702022494607e-15,9.58463133585664e-15
"IBPFAHIO_02453",605.568199928175,-0.710377761987645,0.0910421230562745,-7.80273721811771,6.05786102221157e-15,1.27600820807944e-14
"IBPFAHIO_03024",698.592531938841,0.669793129775168,0.0858863164069303,7.79860119511566,6.25971455820308e-15,1.31757260151332e-14
"IBPFAHIO_03039",270.366840349704,0.98042960786521,0.125758120597775,7.79615346670949,6.38227615854011e-15,1.34239927005132e-14
"IBPFAHIO_02536",1459.50029822213,0.523466939386507,0.0672490014790691,7.78401058563574,7.02608753825591e-15,1.4767466298818e-14
"IBPFAHIO_02173",47.5571916713848,2.34988392385392,0.302021760817723,7.78051196540149,7.22316341428919e-15,1.51707277770533e-14
"IBPFAHIO_02182",45.8796923820349,2.39575794139536,0.307996681654655,7.77851867924226,7.33786687366099e-15,1.54005266540931e-14
"IBPFAHIO_00201",2015.44845683223,-0.751489395843681,0.0966393665495767,-7.77622435530102,7.47211401665548e-15,1.56709826386773e-14
"IBPFAHIO_01794",1603.5887465969,-0.547536403569372,0.0704265418077787,-7.77457460659947,7.57013643536796e-15,1.58651311471246e-14
"IBPFAHIO_01042",88.1025115713624,1.58760054034111,0.204579138783513,7.76032468306125,8.47122319443379e-15,1.77408134669042e-14
"IBPFAHIO_01312",166.382378182882,1.17175600310251,0.15106325640659,7.75672410998942,8.71512351779856e-15,1.82384791950479e-14
"IBPFAHIO_02764",2487.91443036139,0.479599078666958,0.061944350826724,7.74241835237782,9.75434124626702e-15,2.03986259826748e-14
"IBPFAHIO_01678",361.748008544618,-0.873927767062345,0.112932418672182,-7.73850217092372,1.00594832391552e-14,2.10216480324341e-14
"IBPFAHIO_02027",969.840269889149,0.593473318696839,0.0769103068717338,7.71643415344314,1.19629334365678e-14,2.4981419823421e-14
"IBPFAHIO_02354",5498.06416319134,-0.594680464039867,0.0771175106505164,-7.71135451628955,1.24489316111181e-14,2.59776630250644e-14
"IBPFAHIO_00007",278.839598543657,-0.980923236504894,0.12731626363704,-7.70461847122187,1.31234780675168e-14,2.73656480333392e-14
"IBPFAHIO_02658",3484.70881681,0.45992056754504,0.0597083358832335,7.7027865664263,1.33130622667482e-14,2.77411054105255e-14
"IBPFAHIO_02171",40.8548987860282,2.61337109384699,0.339610312398966,7.69520535282469,1.41267107974442e-14,2.94154900796566e-14
"IBPFAHIO_02384",1810.69369693445,-0.693347094407971,0.0903145177620993,-7.67702814108294,1.62821673332718e-14,3.38794775605105e-14
"IBPFAHIO_01570",4877.70697859642,-0.504611283820621,0.0658890126503194,-7.65850425622025,1.88111007819065e-14,3.91136531258071e-14
"IBPFAHIO_02195",31.9592671391707,5.32365920177067,0.696745712087171,7.640749141926,2.15961468536225e-14,4.48725078450358e-14
"IBPFAHIO_01756",574.806615061982,0.68707808736214,0.0899791730150599,7.63596801725599,2.24129961111094e-14,4.65365418540937e-14
"IBPFAHIO_00133",4036.66245123682,-0.531645713279901,0.0696828430071565,-7.62950663802997,2.35653798425786e-14,4.88943839784365e-14
"IBPFAHIO_02469",5146.69235773551,0.515557933995315,0.0675792283518906,7.62894082351402,2.36690246223317e-14,4.90744520481536e-14
"IBPFAHIO_01810",531.798259525106,0.746273226972039,0.0978356950074923,7.62782159328341,2.38753654390929e-14,4.94670382869747e-14
"IBPFAHIO_01262",15659.4383508085,-0.440404422807211,0.0577455823998233,-7.62663401258826,2.40962421400465e-14,4.98891613582329e-14
"IBPFAHIO_01523",5595.5458001743,-0.577543380859574,0.0757578349561668,-7.62354654398108,2.46799253554886e-14,5.10613096729405e-14
"IBPFAHIO_01078",946.002111488354,-0.627020074671314,0.0823728238659477,-7.61197741249853,2.69933743559045e-14,5.58080346236065e-14
"IBPFAHIO_02126",2679.75111804135,-0.554943856946117,0.0729348354785957,-7.60876271680872,2.76732269423783e-14,5.7173004704942e-14
"IBPFAHIO_00052",58.6836230508663,1.96498938358828,0.258770503193001,7.59356015984059,3.11233589388508e-14,6.42553885609892e-14
"IBPFAHIO_01588",779.970285211525,-0.63814322224763,0.0840971258997493,-7.58816922005574,3.24457013034875e-14,6.69379422356146e-14
"IBPFAHIO_00199",4647.56243912617,-0.43542912177753,0.0574487666968105,-7.57943376009331,3.47066342184314e-14,7.1551708363919e-14
"IBPFAHIO_01795",965.891935958831,-0.61736234234214,0.0814601707587595,-7.57870179489839,3.49029706745258e-14,7.19055538807816e-14
"IBPFAHIO_02579",8849.29015335574,0.464277366784641,0.0614663325162421,7.55336047846938,4.24168867783814e-14,8.73235908146168e-14
"IBPFAHIO_02815",191.456028110447,1.05952780823423,0.140341286665829,7.54965152027649,4.36424389234107e-14,8.97831376014478e-14
"IBPFAHIO_00447",1142.21908314001,1.53314763794643,0.203100568654603,7.54871169540511,4.3958474218498e-14,9.03694339336494e-14
"IBPFAHIO_00262",2736.48546691621,-0.484499894460551,0.0641889605219524,-7.54802524485272,4.41907282592868e-14,9.0782787553129e-14
"IBPFAHIO_02263",683.2789079698,0.646841970270548,0.0857547533334839,7.5429284689923,4.59533246799592e-14,9.43371848683789e-14
"IBPFAHIO_02038",209.025471017182,-1.01685327722687,0.135041860115433,-7.52991166115209,5.07746622242079e-14,1.04161410665729e-13
"IBPFAHIO_00690",24143.0378049287,0.4622367254913,0.0614522612717209,7.52188309958925,5.39928515485071e-14,1.1068534567444e-13
"IBPFAHIO_02711",2114.29020071842,-0.618750707855845,0.0823897599296962,-7.51004382563839,5.91075719707452e-14,1.2108525123634e-13
"IBPFAHIO_00113",1598.78217755339,-0.543209806703846,0.0723702602323173,-7.50598111655363,6.09702071036596e-14,1.24813131419658e-13
"IBPFAHIO_01249",3396.2599296455,-0.457547203547679,0.0610386257560001,-7.49602727585494,6.57811081905868e-14,1.34566975363878e-13
"IBPFAHIO_02362",124.335784695495,1.31064961359443,0.174852815605456,7.49573067528877,6.5930044013721e-14,1.34776936884791e-13
"IBPFAHIO_02918",176.827491817945,1.08704723044165,0.145274962869092,7.48268806250665,7.2817581433102e-14,1.48752266352112e-13
"IBPFAHIO_00423",88.3391184502887,1.54305313804,0.206608728132978,7.4684799233015,8.11264905870825e-14,1.65609547053995e-13
"IBPFAHIO_02644",68.6376750941412,1.91158712128119,0.256101476941029,7.46417843471229,8.38209495034745e-14,1.70990037844859e-13
"IBPFAHIO_01368",82.6930586223211,-1.71286271580137,0.229552324237804,-7.46175287699088,8.53789082478949e-14,1.74046219824665e-13
"IBPFAHIO_01584",5187.06130709975,0.465313091681525,0.0624876200601306,7.44648445938193,9.58603226854866e-14,1.95275996737195e-13
"IBPFAHIO_01408",1693.84280830273,0.538879606937794,0.0724546726176357,7.43747211144846,1.02630241072982e-13,2.08920721512903e-13
"IBPFAHIO_02928",118.85399567697,1.30964657565681,0.176181980818962,7.43348763346323,1.05771084953159e-13,2.15163961075223e-13
"IBPFAHIO_00135",9460.04005700344,-0.402724727897997,0.0541830142775737,-7.43267485701113,1.0642327693057e-13,2.1633949660956e-13
"IBPFAHIO_03078",70.8008094834161,-1.80041924640958,0.24268545014762,-7.41873583815771,1.18243478843762e-13,2.40200116478848e-13
"IBPFAHIO_02356",688.729001883654,-0.662535487486662,0.0893203835618871,-7.41751726835805,1.19336133502178e-13,2.422506866282e-13
"IBPFAHIO_00307",236.99679617706,0.937554663918119,0.126400022199572,7.4173615447458,1.19476479229948e-13,2.4236657215218e-13
"IBPFAHIO_02675",693.018851091219,0.629895829454683,0.0849851738487763,7.41183198113506,1.24566514953836e-13,2.52516103781767e-13
"IBPFAHIO_00389",1335.82934713211,-0.611585816916712,0.0826311989553277,-7.40139105626858,1.34765216944137e-13,2.73000380323161e-13
"IBPFAHIO_00362",50.2586148991585,2.16032193125001,0.292272631343348,7.39146159981077,1.45223506387672e-13,2.93981660010093e-13
"IBPFAHIO_02284",365.217700346457,0.898419280600666,0.121629865139599,7.38650231642961,1.50741524450745e-13,3.0493994279091e-13
"IBPFAHIO_02286",369.571579909732,0.786277302724293,0.106617092437916,7.37477720265302,1.64620115528728e-13,3.3278413632231e-13
"IBPFAHIO_01547",58.3369662565814,-1.93950681267465,0.265013933230754,-7.31850883849897,2.50741509859858e-13,5.06278653709037e-13
"IBPFAHIO_02578",2743.82333751187,0.522188668588491,0.0713520453599444,7.31848212555428,2.50791418292144e-13,5.06278653709037e-13
"IBPFAHIO_00258",1050.83345118417,0.547773595877998,0.0748607510903218,7.31723350220054,2.53135170874144e-13,5.10655912969254e-13
"IBPFAHIO_02334",13729.7073568985,0.421212697391732,0.0576312745046355,7.30875207970374,2.69634726634512e-13,5.43564189219574e-13
"IBPFAHIO_02412",292.667729088317,0.903417239143702,0.123655531063927,7.30591855755046,2.7537894057769e-13,5.54759928042669e-13
"IBPFAHIO_01360",294.551469145534,0.885214552997093,0.121185646483609,7.30461551085443,2.78060706174563e-13,5.5977504541781e-13
"IBPFAHIO_00219",296.218842881389,-0.865781342443264,0.118710110633727,-7.29324012774769,3.02588074737508e-13,6.08731088846501e-13
"IBPFAHIO_02606",1037.40420035689,-0.673026398080396,0.0924679662478625,-7.27848167738797,3.37598072744642e-13,6.78693363093683e-13
"IBPFAHIO_02248",1139.91036314601,-0.566382117606015,0.0779389515497248,-7.26699687825111,3.6756729665729e-13,7.38432298529588e-13
"IBPFAHIO_01843",162.133243653635,-1.16003456345716,0.15970442610243,-7.26363440117272,3.76825651910178e-13,7.56509981179674e-13
"IBPFAHIO_02347",88.137806288592,1.64727818438058,0.227193031923015,7.25056649157604,4.15032068943756e-13,8.32638423635612e-13
"IBPFAHIO_01719",108.307530850939,-1.37953700960415,0.190981153286619,-7.22341961949399,5.06962702169015e-13,1.01636943940358e-12
"IBPFAHIO_00629",113.434171749879,1.27694635330184,0.177164685817664,7.20767994709772,5.69132038729816e-13,1.14022254971954e-12
"IBPFAHIO_02042",39.1167715529621,-2.51329344073982,0.351999286799367,-7.1400526506531,9.32951768325828e-13,1.86782847152441e-12
"IBPFAHIO_00453",1776.40458978429,0.599132913303362,0.0839206141665476,7.13928179927678,9.38198195294784e-13,1.87704120034578e-12
"IBPFAHIO_02287",200.960039921151,-0.988323661499526,0.138507241661236,-7.13553782203524,9.64094441129908e-13,1.92752672948432e-12
"IBPFAHIO_00567",5403.5448799263,-0.419088402432574,0.0587535932358492,-7.13298335218861,9.82164402614009e-13,1.96230650378132e-12
"IBPFAHIO_01575",2510.05115392355,-0.49171038115824,0.0690755953457691,-7.11843855556951,1.0915657804969e-12,2.17938819411967e-12
"IBPFAHIO_02732",114.123037861092,1.28440902376292,0.180737628157493,7.10648378457028,1.19036636545974e-12,2.37502158317567e-12
"IBPFAHIO_01757",79.5238251399073,-1.57786512578075,0.22215691028604,-7.10248051140594,1.22537314771821e-12,2.44319262534775e-12
"IBPFAHIO_01397",942.454350723222,0.669804289430875,0.0943185045932564,7.10151515144744,1.2339647981444e-12,2.45863896468059e-12
"IBPFAHIO_00353",72.1481589010713,-1.63604259879143,0.230401644517049,-7.10082865172591,1.24011054384539e-12,2.4691941129507e-12
"IBPFAHIO_00562",1015.91194918994,-0.534279016251262,0.075304007931418,-7.09496122354933,1.29387758869336e-12,2.57448917340149e-12
"IBPFAHIO_02475",124.552727724909,-1.24029352885843,0.175292458335746,-7.07556697323985,1.48838955799636e-12,2.95949590391216e-12
"IBPFAHIO_00206",63.4202669423543,-1.833610272316,0.259494942281267,-7.06607325829322,1.59379299023844e-12,3.16691562770246e-12
"IBPFAHIO_01715",473.035499654017,0.686864683818886,0.0973922231710473,7.05256191361978,1.75653211835655e-12,3.48790245329872e-12
"IBPFAHIO_01607",666.546099265981,-0.609986873250196,0.0865253396576114,-7.04980616850474,1.79167193461189e-12,3.55525357986041e-12
"IBPFAHIO_01514",992.766030897093,-0.575287325015503,0.0817003003164618,-7.04143464328965,1.90270459931737e-12,3.77300619115317e-12
"IBPFAHIO_01254",1249.9336681201,0.525789958253606,0.0747720407518807,7.03190594995739,2.03731120071768e-12,4.03717692667745e-12
"IBPFAHIO_02800",2003.27025208988,-0.455400735052564,0.0648581464401091,-7.02148858776111,2.19516749522009e-12,4.34702896502428e-12
"IBPFAHIO_00731",64.1349981237461,-1.74012551406566,0.248289813431926,-7.00844505061725,2.40981228635582e-12,4.76883994940978e-12
"IBPFAHIO_01768",302.348975499814,-0.882567998181764,0.125941544181943,-7.00775906722843,2.42165344645983e-12,4.78901710777484e-12
"IBPFAHIO_00735",341.128110031194,-0.791100387123219,0.112971629179302,-7.00264653055177,2.51171962223759e-12,4.96171000140845e-12
"IBPFAHIO_00950",23.7039976087248,4.17291355878964,0.595908380614606,7.00260928447724,2.51238768192238e-12,4.96171000140845e-12
"IBPFAHIO_02014",1173.53875475225,0.529188999596325,0.0755818987220804,7.00153090281825,2.53180568725837e-12,4.9966687156672e-12
"IBPFAHIO_01522",4402.66871876536,0.406671110678665,0.0581573061211977,6.99260570685956,2.69827063978213e-12,5.32158931734808e-12
"IBPFAHIO_02146",27.917744797008,5.4497904460818,0.779682771655603,6.98975358210051,2.75369470146876e-12,5.42722090451967e-12
"IBPFAHIO_02863",344.402598719361,-0.818651639614667,0.117237252319529,-6.98286272850751,2.89224985900597e-12,5.69644068982841e-12
"IBPFAHIO_01225",5440.67201884986,-0.420467984456695,0.0603695561413471,-6.96490104171424,3.28634671766994e-12,6.46825915830777e-12
"IBPFAHIO_01512",1635.76092480822,0.460578200607953,0.0661451677384234,6.96314207606741,3.32765915851435e-12,6.54514581786168e-12
"IBPFAHIO_02572",338.822782543237,-0.776996918864605,0.111696323770321,-6.95633385806257,3.49241679216709e-12,6.86456804996515e-12
"IBPFAHIO_00015",767.535214317006,0.564452356275266,0.0811777570488225,6.95328839814814,3.56868079820291e-12,7.00692614889908e-12
"IBPFAHIO_00202",4013.68205050152,-0.509756764951874,0.0733120162994905,-6.95324983109784,3.56965698344807e-12,7.00692614889908e-12
"IBPFAHIO_02261",1412.14731840823,-0.473930148663299,0.0681799058200348,-6.95117047996908,3.62267761725559e-12,7.10620926134165e-12
"IBPFAHIO_02627",5176.31615967608,-0.467922866310874,0.0673513120612388,-6.94749444354429,3.71830705251816e-12,7.28888338712482e-12
"IBPFAHIO_01898",2227.03864381917,0.508359413126781,0.0732105679123405,6.94379824693439,3.81695519732591e-12,7.47722515438474e-12
"IBPFAHIO_02525",865.781276083098,0.550437532675686,0.0793072459481696,6.94057051275515,3.90519592897654e-12,7.64493971032327e-12
"IBPFAHIO_02005",1222.58189073942,-0.546369051640745,0.0787775110763621,-6.93559677343865,4.0450987386423e-12,7.91349625550251e-12
"IBPFAHIO_01696",2125.18350118709,0.444834214046802,0.0641636200881094,6.93281042179285,4.12560929525241e-12,8.0655800258427e-12
"IBPFAHIO_00169",5023.95157641065,0.398717326483053,0.0576544866890558,6.91563396676185,4.65775633042862e-12,9.09981790461591e-12
"IBPFAHIO_01340",915.781242797888,0.534475527730285,0.0774114316398824,6.90434883334367,5.04342301020541e-12,9.84668301992485e-12
"IBPFAHIO_02571",10601.8471180216,-0.477073212670172,0.0691241942535647,-6.9016820784941,5.13903466412803e-12,1.00266286241801e-11
"IBPFAHIO_00230",1026.21796826512,-0.5434631505311,0.0787689396335193,-6.89946002903706,5.22005732413771e-12,1.01778880579805e-11
"IBPFAHIO_02614",929.399618982509,0.695877131130296,0.101037001231862,6.88734941304702,5.68414900794133e-12,1.10753398675483e-11
"IBPFAHIO_02601",455.171068329655,-0.732927275984116,0.106567457686919,-6.87758994999541,6.08735867801288e-12,1.18530442218699e-11
"IBPFAHIO_02000",2228.23072078877,-0.458237434307449,0.0666336524835595,-6.87696707636596,6.11402333592885e-12,1.18970066382947e-11
"IBPFAHIO_02672",5474.82086279992,0.412946112926088,0.0600578440507815,6.87580647378757,6.16401339440368e-12,1.19862678631323e-11
"IBPFAHIO_01585",7976.82430277911,0.380356290460129,0.0553254867984199,6.8748837555821,6.20404281856764e-12,1.20560538350136e-11
"IBPFAHIO_00478",2025.24939471462,0.533455463881409,0.0777064174245228,6.86501168837904,6.64858092014687e-12,1.2911286896963e-11
"IBPFAHIO_02608",34.7076343249437,2.52471680387821,0.368067185953342,6.85939116615046,6.91546403683145e-12,1.34206105408109e-11
"IBPFAHIO_02349",2158.74635880395,-0.450560431910414,0.0656927795060412,-6.85859900126436,6.9539132591034e-12,1.34862368402732e-11
"IBPFAHIO_02920",105.818567061018,1.27195160052757,0.186225550327668,6.8301669577002,8.48158640659564e-12,1.64380146668441e-11
"IBPFAHIO_00107",1309.50315782964,-0.602842360229808,0.0882951219855603,-6.8275839782904,8.63565777294477e-12,1.67254822202543e-11
"IBPFAHIO_02029",968.157362697588,-0.717636169267297,0.105145967289538,-6.82514211211884,8.78383180143249e-12,1.70011531741822e-11
